	Acetate1	Acetate2	Acetate3	Acetate4	Acetate5	Acetate6	Glucose1	Glucose2	Glucose3	Glucose4	Glucose5	Glucose6	Glucose7	Glucose8	Glycerol1	Glycerol2	Xylose1	Xylose2	Xylose3	Xylose4	Xylose5	Xylose6	Xylose7	Xylose8
b4129	0.000176768773318	0.000254405655215	0.000178755333982	0.000183171977296	0.000196826017065	0.000171992898562	0.000242859967508	0.000200632889522	0.000482730657738	0.000285447330666	0.000142395187601	0.00022295444876	0.000196186531557	0.000232385536861	0.000295358706738	0.000248207105012	0.000326310959675	0.000309126977513	0.000256332603066	0.000189950439862	0.000346975540874	0.00024099803648	0.000144214436546	0.000119837791614
b4174	0.000729362826473	0.00071834005861	0.000665596262968	0.000765930281115	0.000644563989713	0.000649237020937	0.000723074468565	0.000676409221541	0.000810039711511	0.000598376126299	0.000659154980229	0.000715952144358	0.000645895407712	0.00061742310717	0.000908636461979	0.000807825815924	0.00084957150386	0.000662591981935	0.001037641926196	0.000883534449426	0.001391392023426	0.000907331648697	0.000761121797464	0.000698781561225
b3992	0.000126945701739	0.000121343075388	0.000102034806164	9.20E-05	0.000231626302742	0.000139429927868	0.000210976715574	0.000222043811735	0.000217205508119	0.000144175832854	0.000195476396805	0.00023877802305	0.000166817705494	0.00016243233887	0.000254901329686	0.000199710839348	0.000236035807872	0.000233741145392	0.000274580309159	0.000273230773886	0.000249036216803	0.000249809808936	0.000244211587753	0.000191860721061
b1277	6.70E-05	5.55E-05	0.000100241997308	0.000104379896018	7.13E-05	8.05E-05	0.000151919766606	0.0001567723483	0.000122315544826	0.000108493534269	0.000108046691711	0.000125764745828	0.000114100287067	9.12E-05	0.000112245064865	6.30E-05	0.000120428138707	8.07E-05	0.000117793606997	8.94E-05	0.000108334578	9.17E-05	9.90E-05	9.58E-05
b3172	0.001700535560269	0.001832839484806	0.002795405374247	0.003184688549408	0.001724145349617	0.001617938192069	0.00580665454384	0.006058731337429	0.004626537316231	0.00393608738615	0.005879819294641	0.006580240315333	0.003447234001519	0.006440780819222	0.005272559379738	0.004007178617471	0.004235747191004	0.003487408251949	0.002192547872953	0.005438121277283	0.002818667455001	0.003298263238059	0.004142002769945	0.004560754458658
b1887	5.39E-05	6.04E-05	2.73E-05	2.73E-05	4.02E-05	3.29E-05	8.72E-05	8.41E-05	0.000194319714086	0.000167034109544	2.75E-05	2.82E-05	0.000159398414465	0.000154453787389	2.59E-05	2.59E-05	0.000153068827574	0.000128250240326	0.0003104522181	0.000230209379398	2.77E-05	2.65E-05	2.76E-05	2.87E-05
b2922	5.61E-05	0.00011399019661	0.000209522481665	0.000210154623994	0.000129390665402	0.000139138395691	0.000175781277604	0.000168657892679	0.000177933870213	9.36E-05	0.000169226673061	0.000198411803393	0.000122614911809	0.000117935570167	0.000124995511819	0.000114323693811	9.44E-05	5.36E-05	9.04E-05	5.83E-05	0.000180337387941	0.000120228679297	0.000128814603123	0.000137508430411
b2750	9.85E-05	2.74E-05	6.82E-05	7.33E-05	6.77E-05	5.00E-05	9.19E-05	0.000100702141573	8.95E-05	5.87E-05	7.34E-05	9.22E-05	6.40E-05	6.84E-05	5.63E-05	5.92E-05	3.61E-05	7.60E-05	0.000138175322692	7.43E-05	0.000110480233719	9.08E-05	8.64E-05	0.000119023673102
b3235	4.73E-05	4.46E-05	5.16E-05	5.15E-05	9.23E-05	5.81E-05	0.000161300293927	7.06E-05	4.87E-05	4.82E-05	7.90E-05	5.90E-05	0.000170955282557	7.02E-05	4.88E-05	5.75E-05	5.28E-05	8.33E-05	4.94E-05	4.95E-05	9.74E-05	9.32E-05	8.37E-05	8.70E-05
b1431	0.000155282190072	8.48E-05	0.000195252642688	0.000222276168108	0.000146721685642	0.00018625434334	0.000146835728572	0.000144327361192	5.78E-05	5.71E-05	4.06E-05	5.32E-05	3.60E-05	3.13E-05	0.000133561448607	0.000133125629575	0.000115212337343	9.08E-05	0.000103958421109	0.000121302475946	8.47E-05	7.23E-05	9.76E-05	9.09E-05
b1922	5.44E-05	5.13E-05	0.000705662804954	0.000701839011067	3.31E-05	3.39E-05	0.000106055834092	8.60E-05	3.87E-05	3.83E-05	5.40E-05	5.53E-05	4.08E-05	3.49E-05	3.42E-05	3.43E-05	5.45E-05	5.22E-05	0.000115300776827	7.40E-05	3.66E-05	3.51E-05	3.66E-05	3.80E-05
b1714	0.000604246499279	0.000546378724416	0.00074983130034	0.000725466044195	0.00057326459048	0.000534196747465	0.001008857677389	0.000951465914175	0.000742980080211	0.00087690160251	0.001191031703414	0.001190407180107	0.000844972768071	0.000661620146648	0.000894393387631	0.000848384798793	0.000973312291347	0.001040103140448	0.000789463260748	0.000671736813319	0.000649673042495	0.000702889698724	0.000707799513116	0.00073784507053
b0902	0.000130367454633	8.78E-05	0.000183152417086	0.000240402014866	9.15E-05	0.000109204589901	0.000182881977175	0.000181176724807	0.000140466368786	0.000190593503236	0.000122521159225	0.000180564949945	0.000131376206993	0.000136128229671	0.000165294443318	0.000130915368546	0.000109004006202	0.000160741507905	0.000140609952298	0.000167509014584	0.000193265301019	0.000194117830264	0.000151522083467	0.000113820886585
b0965	0.000109003875437	2.87E-05	0.00014107944987	0.000126322695043	6.01E-05	7.98E-05	8.62E-05	8.90E-05	8.83E-05	6.75E-05	8.90E-05	0.00011003681041	6.09E-05	4.97E-05	6.95E-05	6.78E-05	7.28E-05	6.08E-05	5.56E-05	4.93E-05	0.000121330886743	7.90E-05	6.85E-05	5.75E-05
b2155	0.00041895054868	0.000429043596701	0.000286387304344	0.000294505023369	0.001755968805966	0.001162869777581	0.000457845661346	0.00042138503746	0.000706262217173	0.000655466668056	0.000420577271932	0.000488918186673	0.000590885106131	0.000588494441875	0.000479856253412	0.000465680165245	0.00041305260241	0.00029053114432	0.000460711282148	0.000387393620301	0.000345915787455	0.000324479669676	0.000339298120869	0.000282097026901
b0410	1.63E-05	1.53E-05	4.01E-05	2.43E-05	2.34E-05	3.61E-05	2.30E-05	2.28E-05	4.35E-05	3.59E-05	2.16E-05	2.64E-05	2.06E-05	1.81E-05	2.55E-05	1.93E-05	1.89E-05	1.90E-05	1.74E-05	2.28E-05	1.79E-05	1.72E-05	2.96E-05	3.69E-05
b3467	1.74E-05	1.56E-05	1.90E-05	2.13E-05	2.22E-05	2.28E-05	1.99E-05	1.98E-05	2.72E-05	2.69E-05	2.59E-05	2.65E-05	1.71E-05	1.64E-05	1.93E-05	1.93E-05	1.67E-05	1.68E-05	2.43E-05	2.43E-05	2.71E-05	2.01E-05	1.82E-05	1.90E-05
b0437	0.000235446824959	0.000323377085722	0.000350088433302	0.00036135830143	0.000350138665503	0.000371404173954	0.00041038720164	0.000416312506334	0.00054025365334	0.000429336258665	0.000189064705759	0.000390428463872	0.000351084912204	0.000494365237365	0.00065566988586	0.000529528807274	0.000594464840329	0.000630685669014	0.000415742310106	0.000603932867423	0.000420901075657	0.000221246517217	0.000399107013126	0.000286904479302
b3202	8.28E-05	9.16E-05	0.000102129387927	0.000129973642783	0.000100701493959	0.000110946623093	0.000141404448205	0.000148990716019	0.000145918534003	0.0001059045359	0.000116642027669	0.000127851808034	9.07E-05	0.000108199774	7.37E-05	6.96E-05	0.000113241257232	0.000106423331555	0.000149204578171	0.000167792613841	0.000189077417741	0.000155031682757	0.000111365557576	0.000109268963441
