Geneid	Acetate	Glucose	Glycerol	Xylose
b0001	551.945200619535	2006.68826559544	196.80035436555	1773.24442762354
b0002	77.7297756680338	909.186241214101	122.061364733119	2755.98037715912
b0003	92.6234699563376	688.821810058835	214.914213348552	2535.47250892541
b0004	95.24489518458	662.193327845081	256.303025610689	2491.27561880393
b0005	10.7434588928377	53.8192255140539	66.5112308735423	213.608652172473
b0006	70.1539569595046	94.0426400598581	52.587739478954	30.5720110424029
b0007	9.47654157056907	6.73747716827629	30.8231162978189	22.8754677910212
b0008	1018.44949702528	1354.76481691577	980.855854213415	1272.32137227052
b0009	58.7875492988183	50.4849440499908	119.19307176604	64.0467652935356
b0010	28.6065909408495	25.5061635656174	58.7016930018935	51.0914367013959
b0011	6.7033766621277	0.710698056007914	8.71682241850212	4.46298726479841
b0012	0	1.04411195882644	2.22716450413688	0
b0013	0	0	0	4.29168068291726
b0014	1431.31370359989	304.807162966136	909.200698171203	741.674957456264
b0015	246.857328008505	86.8163861361604	252.416900133975	155.473816782341
b0016	58.2926758794669	43.5403129784471	58.107382258202	62.7267884181101
b0018	18.9929005426952	6.04093347606727	177.823177337443	48.2814076828192
b4412	0	0	0	0
b0019	193.900100313342	39.7863022254096	123.822330927939	99.7898503264437
b0020	59.2846829301787	48.4474863544203	73.7729805203089	71.6227504698774
b0021	3.16548342378253	2.51705561502803	16.1071718602756	29.8884904703166
b0022	5.78044799125505	16.546904738793	25.4913502484362	53.5293867787778
b0023	3306.63520736119	3770.22895877917	1610.27789952228	2666.45046975569
b0024	19.4265284089667	10.4268166847189	21.0055172753184	26.4555658535995
b0025	215.091574298802	301.392559987484	144.77987853007	283.845473192625
b0026	240.603709182328	529.504867605104	285.777937371877	367.535146024272
b0027	138.053446772964	296.774586406069	174.386980673918	217.705256460712
b0028	128.814072125124	234.549310430772	170.778974177216	220.806971136093
b0029	81.363908318549	142.200143843577	134.588885878543	148.651905042371
b0030	27.0259633951793	9.98239498996035	42.586306190578	22.1619576249006
b0031	123.569382119627	193.530343258827	72.0942903994236	114.888605143059
b0032	37.7213220525939	506.334324931362	52.5186324258805	26.7249567330487
b0033	26.7386085852468	396.879204908107	42.5805235993432	30.7490529376614
b0034	8.7290603504306	33.9573684791054	138.033581881393	60.7175278435453
b0035	4.94908068286811	2.14652458540461	5.03655729235015	8.82299835828167
b0036	0.338295938419507	0.968393916010784	3.09847886167135	2.5799225479369
b0037	3.76435866611976	7.51034972700256	20.5475273460814	9.32073507390331
b0038	3.71125642788296	2.29138855988759	27.1044823028087	5.94598616783487
b0039	11.3990636677943	8.43510921067661	55.8720166155913	15.460188286887
b0040	1.05307171325835	1.67471423098895	1.4289134640403	2.29456194928249
b0041	1.37951028585075	0	1.05292018386238	1.12719239726426
b0042	0.564544814432552	2.15472786407495	3.15987830125153	0.922574669098455
b0043	1.03302489354208	2.168540222178	2.523081466225	0.450176295410901
b0044	0.923265998603237	0.880969465259811	2.81875507554824	1.00586266005873
b0045	0.798500323116313	0.380959768760999	1.42207463270902	1.52238672873754
b0046	21.0316864766568	30.1022786773522	13.7593468094558	10.9110525836879
b0047	19.8390684144309	23.0158592663046	16.7037337810266	7.61928816894731
b0048	105.806283439931	49.1580961614974	197.876606303486	47.6778900867839
b0049	101.881252970424	67.7186492868751	70.9403412607728	84.1917785216419
b0050	219.473517382255	178.543144959322	209.751171336034	197.723860034402
b0051	233.876081865159	198.777577446068	181.717115527314	216.737706021414
b0052	118.983807238177	135.829473916422	131.2002362437	131.383951815672
b0053	280.362956107321	428.188123870055	355.754486737725	286.762300176744
b0054	294.466575208019	408.859612208222	287.031854419139	281.077749185329
b0055	51.8115154510287	22.0760583647458	49.7427366273219	69.2270183687481
b0056	46.1547905661194	58.4606465425865	51.5429499528821	123.707201251832
b0057	35.1189481732854	68.6158858979717	64.6718145635218	116.60415440379
b0058	61.2377156891747	35.3669196235211	85.2801535584049	63.6436737637161
b0059	59.3634311423901	54.4619141867118	85.4527854481992	30.2942165852983
b0060	34.8203176616078	11.9739931400619	29.6832167139366	28.3283769567561
b0061	7.25878095453579	2.18723453443815	9.33105128457348	7.49194257147194
b0062	17.3374980336512	1.51927668260375	18.3641049233322	11.3716688753945
b0063	9.5355303136165	1.4915885126092	6.04516079694296	6.64188677118147
b0064	88.0285287951537	19.0505888460278	53.2581163762288	19.7739553649771
b0065	51.0946265579956	14.2613409905588	41.7396830010594	18.9338853658114
b0066	27.7693052283755	14.8819562886807	22.4532593142383	11.1896824672628
b0067	21.7870144027937	23.7812539448905	13.9415521055049	8.27167505925393
b0068	119.439094063209	153.417609315977	62.150111909649	40.332639344794
b0069	18.4653199720647	28.0378108073992	20.5891675083523	26.0649628432611
b4662	16.1151883392565	57.6634559079149	75.850136578389	76.811330404485
b0070	16.6892662953623	15.0639053601678	21.5745935553412	23.8335702047504
b0071	448.87181777637	1275.71356545583	961.837375482124	209.378777872028
b0072	432.539246763192	1279.09975156421	516.864313981471	166.865507494797
b0073	420.76579663817	1306.7003795924	279.025777148775	121.499366586435
b0074	356.39477112495	791.662026338816	148.38270993115	110.015268651309
b0075	996.363196285755	962.383195152786	189.731376119661	616.004166987693
b0076	3.65789195637092	4.56426084858416	10.5949397125369	41.6906123483391
b4726	0	0	0	0
b0077	123.007933253907	233.127502319883	108.08332505337	96.8986860277796
b0078	116.196403726651	217.105255536223	156.200281259649	99.5068036389809
b0080	127.791038278313	171.165792700987	341.145091889635	117.316614488999
b0081	296.024423709022	165.276781247174	166.251279749982	187.445465121533
b0082	184.323881912228	130.899717742553	118.064543801307	142.691548820561
b0083	136.582825760584	120.620606128688	93.8968903854757	114.767280557521
b0084	135.433246654193	86.1525317469696	177.950065754135	179.682250663395
b0085	123.121988329864	104.011233640352	125.116354321109	99.4830617980669
b0086	104.481916451206	146.182588884436	130.620985752558	94.4311858873681
b0087	84.9507019656651	85.2758919502461	140.172551568537	74.0939054190632
b0088	122.148722548692	105.379199452672	162.730133564224	76.7663384114072
b0089	87.1385123693773	58.2840906943936	121.715881816444	72.3639411535265
b0090	105.065595885995	74.1202174816344	139.100812267504	83.0006221963071
b0091	129.347314536024	147.659077201596	213.40038425614	130.320547566634
b0092	169.471939912995	161.983597312657	334.651416917206	150.977691776894
b0093	168.307725146098	99.8389655358699	193.099986691709	128.285617525469
b0094	170.530080882156	101.246619019313	181.257333504138	122.251735367898
b0095	469.942393289047	566.903850894688	756.600841528406	398.070147718243
b0096	1721.69195159142	875.303622424414	2329.28654713539	2268.27946682421
b0097	202.146660746814	292.296395210413	310.689448327095	317.358492605197
b0098	139.239157784917	194.274277465365	236.800426391068	260.56972572058
b0099	10.2269464460666	10.4089930664544	36.7739123702293	33.4255899342594
b0101	92.6623329507248	146.080754966718	136.666912753854	128.750420487518
b0102	81.8430633600547	116.62898985246	96.3832380671333	73.5902100972002
b0103	87.348991867854	96.4214695890158	57.0831945734213	84.9006395968414
b4727	0	0	0	19.3125630731277
b0104	207.320971824285	429.670072987406	134.781851888284	69.6473179792391
b0106	6.18887532230798	4.85082438726599	3.82394703515771	5.77932062038733
b0107	6.90650928825278	4.57646475459642	10.9333530203083	21.3190631326734
b0108	0	1.15065399544139	1.84081964117436	4.59822930312563
b0109	71.0852854763512	124.589185046676	74.7632218695748	151.648985205096
b0110	48.1703999271254	31.2552645066089	83.3371065814262	113.881146382302
b0111	27.6785427791791	19.2885946077937	81.6548838727237	65.0528440357984
b0112	233.582265917367	820.247971636838	128.801105286187	204.08909448458
b0113	74.7302361222384	142.613409905588	234.166696158486	104.136369511963
b0114	277.578674823308	1057.92527784929	560.500558806313	384.62013282462
b0115	229.379657795614	611.311832299207	669.282346178985	286.321755228382
b0116	801.620358063058	1213.93512033173	687.230290082296	379.33939678375
b0117	4.01575890654612	2.73699251342854	2.04336937515471	10.937535721027
b0118	1088.67773788186	1396.82286502848	414.337466624698	344.214100500838
b0119	77.6459074527813	31.4527941315899	528.528224413541	86.9863378087155
b0120	120.742288481486	494.672665776075	198.099979347209	119.519258263884
b0121	134.637101194238	367.26367188409	196.005889267188	125.297770803164
b0122	112.32008424387	141.441166560334	104.196739344404	362.942995684641
b0123	58.9747317947259	271.05913883522	272.519639644493	23.5336842090337
b0124	96.6405805112627	175.406878924904	21.2768262666226	21.929572874756
b0125	161.917129766217	194.659800502548	182.919882444516	288.609531958751
b0126	1052.7738988598	1144.22387017274	148.973118924902	617.827244013631
b0127	35.8549902370189	67.0563165789992	60.1334416116957	93.1253041390298
b0128	29.6594711457911	46.4000104348513	55.804769744706	89.0481993838766
b0129	53.0595316748309	20.1364449202242	134.379833805728	101.161044668764
b0130	14.2678374808539	8.86985842095731	37.8400681361403	40.9803167649294
b0131	410.366292040595	1144.73311051209	323.868299703936	440.99553474071
b0132	7.36158935763378	4.49557840079425	13.1854058019001	27.2685691231869
b0133	326.44605111177	377.600884039247	225.500406043859	389.651360595146
b0134	255.866622405365	352.65373915004	189.590530062535	378.234725847293
b0135	2.36069950248188	5.52898996114632	2.18402330308822	4.67616539300912
b0136	1.78157861037006	2.97493206359092	4.07940433044167	3.39668194753502
b0137	1.31633964157293	3.76810701972513	2.67921274507555	3.82426991547082
b0138	1.39947688209333	4.4512141402601	1.42421309080332	0.508225344029675
b0139	0.921133744564892	4.39467446873254	1.77067293429358	4.68318504082772
b0140	0.358840226177776	3.42401087712315	0.365182843795723	3.12754057864416
b0141	0.454530953158517	2.168540222178	0.925129870949165	2.97116354971195
b0142	34.3454951480404	69.2441999694211	25.3687956799341	21.7266334572686
b0143	197.998950292732	366.42280179081	235.178535058617	139.249381814826
b0144	33.2734309399535	24.359233369514	35.9049190205756	20.9375683802517
b0145	1290.43430836356	627.064792009141	962.530680534577	561.589005152791
b0146	134.647541719703	41.0269354374611	209.571441191399	94.5082873791354
b0147	27.541494195622	34.4026042026882	14.7785576842303	27.8231840884043
b0148	33.5932043343637	18.3763704753454	39.1980952728091	38.5059127939521
